>Title;Pulmonary autoimmunity as a feature of autoimmune polyendocrine syndrome type 1 and identification of KCNRG as a bronchial autoantigen.
>Date;3/3/2009
>Journal;Proc Natl Acad Sci U S A
>Country;United States
>Conflict;NA
