>Title;SparkText: Biomedical Text Mining on Big Data Framework.
>Date;26/08/2016
>Journal;PLoS One
>Conflict;We have the following interests: Kai Wang (K.W.) is a board member and shareholder of Tute Genomics, Inc. There are no patents, products in development or marketed products to declare. This does not alter our adherence to all the PLOS ONE policies on sharing data and materials.
